1 pikoliterhány femtoliter;1000;1000000;10
340 tonna hány kg?;340000;3400000;34000
5 szénarakás meg 7 szénarakás összehordva hány szénarakás?;1;12;7
A magyar érmék a réz, a nikkel és a cink ötvözetéből készülnek. Melyik az egyetlen érme, amelyben acél is van?;100;200;50
Árpád fejedelemnek hány vezére volt?;7;12;5
Átmérőt tekintve hány kisebb érme van a 100 forintos érménél?;1;2;3
Az 1848-as forradalom hanyadik évfordulóján adtak át először Kossuth-díjat?;100;50;56
Az alapszínek hány tartományra tagolják a színkört?;7;3;5
Egy futó hét napon át napi 10 km-t fut. Hány métert fut egy hét alatt összesen?;70000;70;700
Egy kiló vas hány kiló toll?;1;10;5
Egy kilogramm hány milligramm;1000000;1000;10000
Ha egy futóversenyen megelőzöd a másodikat, hányadik helyen végzel?;2;1;3
Ha másfél tégla 15 Ft, akkor mennyibe kerül 8 tégla?;80;120;50
Ha minden forgalomban lévő magyar érméből és papírpénzből egy darab van nálunk, akkor hány forintunk van összesen?;38885;36555;39465
Hány 9-es van 1-től 100-ig?;20;10;19
Hány 9-es van 1-től 100-ig? (nem számjegy);1;10;11
Hány alapszín van?;3;7;15
Hány állatot vihetett fel egy állatfajból Mózes a bárkára?;2;1;4
Hány aradi vértanu volt?;13;12;11
Hány betűből áll a CSOKI szó?;4;5;3
Hány cm magas a Batthyány-örökmécses?;180;320;560
Hány darab egy tucat?;12;24;10
Hány élete van egy macskának;1;9;7
Hány európai ország kapott segélyt a Marshall-terv nemzetközi segélyprogram keretében?;17;12;7
Hány évesen halt meg Bornemissza Gergely?;29;41;35
Hány évig szolgáltatott áramot az Inotai hőerőmű?;50;30;60
Hány évig tartott valójában a százéves háború?;116;106;102
Hány évig uralkodott I. Ferenc József?;68;34;42
Hány évig uralkodott Viktória királynő?;64;46;54
Hány felesége volt Julius Caesarnak?;3;1;6
Hány festményt loptak el 1983-ban a Szépművészeti Múzeumból?;7;13;22
Hány foga van egy felnőtt embernek?;32;31;33
Hány fokos a derékszög?;90;180;360
Hány forgalomban lévő érménk oldala sima, azaz nincs recézve?;2;1;0
Hány gyermeke született Mária Terézia magyar királynőnek?;16;12;6
Hány gyermeke van II. Erzsébet brit királynőnek?;4;2;5
Hány hónap van egy évben?;12;31;365
Hány hozzávaló kell egy egyszerű piskótához?;3;5;7
Hány IKEA áruház van a világon;422;56;208
Hány km hosszú a Balaton?;77;67;87
Hány km széles a Balaton?;14;24;8
Hány milliméter a magyar papírpénzek hosszabbik oldala?;154;138;148
Hány milliméter a magyar papírpénzek rövidebbik oldala?;70;65;56
Hány múzsa volt a görög mitológiában?;9;3;6
Hány napos a január?;31;30;28
Hány napos a július?;31;30;28
Hány ország tagja az ENSZ-nek?;193;187;156
Hány országon folyik keresztül a Nílus?;6;7;8
Hány perc telik el egy nap alatt?;1440;3600;4200
Hány számjegy található a TAJ kártyán;9;12;10
Hány számjegyű a bankszámlaszám?;16;20;18
Hány szemjegyű az adószám?;11;10;12
Hány szövetségi államból áll az USA?;50;51;63
Hány táblából áll a Gyönyörök kertje c. műalkotás?;3;4;5
Hány tudós nevét örökítettek meg az Eiffel-tornyon?;72;27;62
Hány ujj van 10 kézen?;50;10;5
Hány újja van egy embernek?;20;10;12
Hány versszakból áll a Himnusz?;8;5;3
Hanyadik Béla királyt tartják Budavár alapítójának?;4;2;3
Hanyadik Béla követte II. Andrást a trónon?;4;3;2
Hanyadik elnöke volt az USA-nak John Fitzgerald Kennedy?;35;42;32
Hanyadik évezred van most?;3;2;1
Hét hónap 31 napos, 4 hónap 30 napos. Hány hónapban van 28 nap?;12;11;7
Hozzávetőlegesen mennyi a Föld népessége (milliárd főben)?;7;8;6
Melyik bankjegyen látható Mátyás király?;1000;500;2000
Melyik évben  volt a lepantói csata?;1571;1671;1547
Melyik évben  volt a mohácsi csata?;1526;1527;1524
Melyik évben csatlakozott Magyarország az Európai Unióhoz?;2004;2002;2008
Melyik évben jelent meg utoljára a Halley-üstökös a naprendszerben?;1986;2000;1997
Melyik évben született Arany János?;1817;1816;1815
Melyik évben született Neumann János?;1903;1927;1919
Melyik évben volt a bostoni teadélután?;1773;1737;1873
Melyik évben volt a Challenger-katasztrófa?;1986;1990;1983
Melyik évben volt a nagy londoni tűzvész?;1666;1777;1888
Melyik régi bankjegyen volt látható Kossuth Lajos?;100;50;20
Mennyi 14400 gyöke?;120;12;1200
Mennyi arab számmal a következő? MMCCCXLVIII;2348;2368;2358
Mikor adták ki az Aranybullát?;1222;1541;1322
Mikor alapították a Google-t?;1998;1994;1990
Mikor alapították a Magyar Vöröskeresztet?;1881;1891;1901
Mikor alapították a Pannonhalmi apátságot?;996;997;999
Mikor alapították Herendi Porcelánmanufaktúrát?;1826;1926;1866
Mikor gyártották az első Trabantot?;1957;1962;1978
Mikor hozták létre a Magyar Örökség díjat?;1995;1989;1998
Mikor hozták létre a párizsi Disneyland-et?;1992;1996;1998
Mikor kapta Teréz anya a Nobel-békedíjat?;1979;1989;1969
Mikor kezdett uralkodni Aba Sámuel?;1041;1196;1087
Mikor kezdte meg a Magyar Rádió az adását?;1925;1946;1920
Mikor kötötték a Szent Szövetséget?;1815;1915;1845
Mikor nyílt meg a Ferihegyi Nemzetközi Repülőtér?;1950;1949;1960
Mikor nyitották meg a Nyugati pályaudvart?;1877;1896;1879
Mikor szűnt meg a Budapesti Vidám Park?;2013;2003;2017
Mikor ütközött egy jéghegynek a Titanic?;1912;1911;1902
Mikor vezette be a Magyar Posta az irányítószámok használatát?;1973;1972;1974
Mikor vezették be a forintot Magyarországon?;1946;1956;1942
Mikor vezették be az eurót?;1999;1996;2000
Mikor volt a soproni népszavazás?;1924;1948;1956
Mikor vonták ki a forgalomból a forint váltópénzét, a fillért?;1999;1996;2001
Mikor vonták ki a forgalomból Magyarországon az 1 és 2 forintos érméket?;2008;2006;2012
Mikor zenésítették meg a Himnuszt?;1844;1849;1789
Milyen magas a Kékestető?;1014;1010;998
Milyen magas a Szent István-bazilika?;96;87;112
Minek a négyszerese 24?;6;4;8
Mont Blanc milyen magas?;4810;4570;4914
Pisti este 8-kor aludt el. Reggel 9-ig akart aludni, így beállította a vekkert 9-re. Mennyit aludt?;1;13;12
Van nyolc égő gyertyád, amiből hármat eloltasz. Hány gyertyád marad?;3;8;5
